Frequency,dB,pedal,Tone,Gain
15546.972656,-19.05289099999999,nobels odr-1,0%,0%,
15590.039062,-19.661136999999997,nobels odr-1,0%,0%,
15633.105469,-20.743702,nobels odr-1,0%,0%,
15676.171875,-19.355670999999994,nobels odr-1,0%,0%,
15719.238281,-19.884483999999993,nobels odr-1,0%,0%,
15762.304688,-20.11276199999999,nobels odr-1,0%,0%,
15805.371094,-20.352764999999998,nobels odr-1,0%,0%,
15848.4375,-20.106022999999993,nobels odr-1,0%,0%,
15891.503906,-19.769843999999992,nobels odr-1,0%,0%,
15934.570312,-20.99046399999999,nobels odr-1,0%,0%,
15977.636719,-19.711856999999995,nobels odr-1,0%,0%,
16020.703125,-19.802063999999994,nobels odr-1,0%,0%,
16063.769531,-19.03501899999999,nobels odr-1,0%,0%,
16106.835938,-19.002093999999992,nobels odr-1,0%,0%,
16149.902344,-21.11385399999999,nobels odr-1,0%,0%,
16192.96875,-19.463920999999992,nobels odr-1,0%,0%,
16236.035156,-20.033928999999993,nobels odr-1,0%,0%,
16279.101562,-20.429432,nobels odr-1,0%,0%,
16322.167969,-19.840953999999996,nobels odr-1,0%,0%,
16365.234375,-19.64788099999999,nobels odr-1,0%,0%,
16408.300781,-18.449340999999997,nobels odr-1,0%,0%,
16451.367188,-19.787658999999998,nobels odr-1,0%,0%,
16494.433594,-20.498917,nobels odr-1,0%,0%,
16537.5,-19.942265,nobels odr-1,0%,0%,
16580.566406,-19.085361999999996,nobels odr-1,0%,0%,
16623.632812,-19.095386999999995,nobels odr-1,0%,0%,
16666.699219,-20.430709999999998,nobels odr-1,0%,0%,
16709.765625,-20.642326999999987,nobels odr-1,0%,0%,
16752.832031,-20.075481999999994,nobels odr-1,0%,0%,
16795.898438,-20.848884999999996,nobels odr-1,0%,0%,
16838.964844,-20.234795,nobels odr-1,0%,0%,
16882.03125,-20.026771999999994,nobels odr-1,0%,0%,
16925.097656,-20.008239999999994,nobels odr-1,0%,0%,
16968.164062,-20.499823999999997,nobels odr-1,0%,0%,
17011.230469,-19.750296999999996,nobels odr-1,0%,0%,
17054.296875,-19.025597000000005,nobels odr-1,0%,0%,
17097.363281,-20.549301,nobels odr-1,0%,0%,
17140.429688,-19.897205999999997,nobels odr-1,0%,0%,
17183.496094,-20.067657999999994,nobels odr-1,0%,0%,
17226.5625,-20.03464199999999,nobels odr-1,0%,0%,
17269.628906,-18.921813999999998,nobels odr-1,0%,0%,
17312.695312,-18.741332999999997,nobels odr-1,0%,0%,
17355.761719,-17.33045599999999,nobels odr-1,0%,0%,
17398.828125,-18.193463,nobels odr-1,0%,0%,
17441.894531,-20.354102999999995,nobels odr-1,0%,0%,
17484.960938,-20.348243999999994,nobels odr-1,0%,0%,
17528.027344,-21.776234000000002,nobels odr-1,0%,0%,
17571.09375,-20.283389999999997,nobels odr-1,0%,0%,
17614.160156,-20.136276999999993,nobels odr-1,0%,0%,
17657.226562,-19.21898999999999,nobels odr-1,0%,0%,
17700.292969,-19.04518199999999,nobels odr-1,0%,0%,
17743.359375,-20.090960999999993,nobels odr-1,0%,0%,
17786.425781,-19.818549999999995,nobels odr-1,0%,0%,
17829.492188,-20.703343000000004,nobels odr-1,0%,0%,
17872.558594,-20.197766,nobels odr-1,0%,0%,
17915.625,-19.502685999999997,nobels odr-1,0%,0%,
17958.691406,-19.341648999999997,nobels odr-1,0%,0%,
