Frequency,dB,pedal,Tone,Gain
18130.957031,-29.221479000000002,morning glory,0%,0%,
18174.023438,-28.774762999999993,morning glory,0%,0%,
18217.089844,-28.723969999999994,morning glory,0%,0%,
18260.15625,-29.35636699999999,morning glory,0%,0%,
18303.222656,-29.735780999999996,morning glory,0%,0%,
18346.289062,-30.493463,morning glory,0%,0%,
18389.355469,-29.077889999999996,morning glory,0%,0%,
18432.421875,-28.512476,morning glory,0%,0%,
18475.488281,-28.94004199999999,morning glory,0%,0%,
18518.554688,-29.885588,morning glory,0%,0%,
18561.621094,-30.627126999999994,morning glory,0%,0%,
18604.6875,-29.432795,morning glory,0%,0%,
18647.753906,-29.177958000000004,morning glory,0%,0%,
18690.820312,-29.40934899999999,morning glory,0%,0%,
18733.886719,-22.615362000000005,morning glory,0%,0%,
18776.953125,-18.742872,morning glory,0%,0%,
18820.019531,-24.82680700000001,morning glory,0%,0%,
18863.085938,-28.305856999999996,morning glory,0%,0%,
18906.152344,-28.89219,morning glory,0%,0%,
18949.21875,-29.487250000000003,morning glory,0%,0%,
18992.285156,-29.548304,morning glory,0%,0%,
19035.351562,-29.295325000000005,morning glory,0%,0%,
19078.417969,-29.666123999999996,morning glory,0%,0%,
19121.484375,-30.456178,morning glory,0%,0%,
19164.550781,-29.723645999999995,morning glory,0%,0%,
19207.617188,-29.54286400000001,morning glory,0%,0%,
19250.683594,-29.728651,morning glory,0%,0%,
19293.75,-28.728033000000003,morning glory,0%,0%,
19336.816406,-28.718824999999995,morning glory,0%,0%,
19379.882812,-29.900883999999998,morning glory,0%,0%,
19422.949219,-30.392672000000005,morning glory,0%,0%,
19466.015625,-30.231459,morning glory,0%,0%,
19509.082031,-30.709184000000008,morning glory,0%,0%,
19552.148438,-30.707014000000008,morning glory,0%,0%,
19595.214844,-29.902159000000005,morning glory,0%,0%,
19638.28125,-30.14015400000001,morning glory,0%,0%,
19681.347656,-30.81981100000001,morning glory,0%,0%,
19724.414062,-30.668283000000002,morning glory,0%,0%,
19767.480469,-30.844510999999997,morning glory,0%,0%,
19810.546875,-30.300081000000006,morning glory,0%,0%,
19853.613281,-30.672005999999996,morning glory,0%,0%,
19896.679688,-29.753755000000005,morning glory,0%,0%,
19939.746094,-29.222504999999998,morning glory,0%,0%,
19982.8125,-30.207715999999998,morning glory,0%,0%,
43.066406,-22.463336,morning glory,100%,0%,
86.132812,-13.691142,morning glory,100%,0%,
129.199219,-9.507617,morning glory,100%,0%,
172.265625,-8.096150000000002,morning glory,100%,0%,
215.332031,-6.624737,morning glory,100%,0%,
258.398438,-4.978015000000003,morning glory,100%,0%,
301.464844,-4.182597999999999,morning glory,100%,0%,
344.53125,-4.000492999999999,morning glory,100%,0%,
387.597656,-3.2595370000000017,morning glory,100%,0%,
430.664062,-1.9403240000000004,morning glory,100%,0%,
473.730469,-1.4542350000000006,morning glory,100%,0%,
516.796875,-1.3366070000000008,morning glory,100%,0%,
559.863281,-0.46190000000000353,morning glory,100%,0%,
602.929688,-0.2844629999999988,morning glory,100%,0%,
645.996094,-0.5619180000000021,morning glory,100%,0%,
689.0625,-0.22967600000000132,morning glory,100%,0%,
732.128906,-1.1938550000000028,morning glory,100%,0%,
775.195312,-1.5565999999999995,morning glory,100%,0%,
818.261719,-1.411767000000001,morning glory,100%,0%,
861.328125,-1.5784350000000025,morning glory,100%,0%,
904.394531,-0.8424410000000009,morning glory,100%,0%,
947.460938,0,morning glory,100%,0%,
990.527344,-0.029293000000002678,morning glory,100%,0%,
1033.59375,-0.5623300000000029,morning glory,100%,0%,
1076.660156,-0.43470299999999895,morning glory,100%,0%,
1119.726562,-0.5111120000000007,morning glory,100%,0%,
1162.792969,-0.4597900000000017,morning glory,100%,0%,
1205.859375,-1.6068719999999992,morning glory,100%,0%,
1248.925781,-2.2232220000000034,morning glory,100%,0%,
1291.992188,-1.5703780000000016,morning glory,100%,0%,
